TIMESTAMP,Deleted Temp,Deleted RH
1/5/2013 21:00,-0.739,49.44
1/25/2013 15:00,7.28,23.59
1/25/2013 17:30,4.543,23.47
1/25/2013 20:00,-2.904,32.1
1/25/2013 20:30,2.944,40.66
1/25/2013 21:30,12.42,65.52
1/28/2013 10:30,13.05,74.1
1/29/2013 7:30,14.09,93.3
1/29/2013 8:30,15.13,93.3
1/29/13 13:00,24.4,63.24
1/29/2013 13:30,15.5,47.82
1/29/2013 14:30,19.87,52.09
1/30/2013 1:00,19.1,92.6
1/30/2013 2:00,14.46,84.8
1/30/2013 2:30,18.58,92.2
2/3/13 11:00,15.35,65.89
2/8/2013 0:00,19.13,84.1
2/8/13 0:30,23.94,90.9
2/10/2013 12:00,20.84,63.41
2/11/2013 10:30,19.86,70.2
2/11/2013 21:00,2.949,57.59
2/12/2013 0:00,4.632,72.4
2/12/2013 6:00,11.01,86.7
2/12/2013 9:00,11.51,86.7
2/13/2013 7:30,9.44,80
2/13/2013 8:30,14.63,86.3
2/13/13 9:00,24.31,99.2
2/13/13 9:30,20.04,87.9
2/13/2013 11:00,17.34,72
2/13/13 15:00,23.29,75.8
2/13/13 18:00,22.25,92.9
2/13/2013 18:30,18.22,92.7
2/14/2013 13:00,6.031,79.7
2/14/13 14:30,14.01,93.3
2/14/2013 15:00,,60
2/14/2013 15:30,,53.33
2/14/13 16:00,15.33,93.3
2/14/2013 16:30,10.63,86.7
2/14/2013 17:00,13.89,93.3
2/14/2013 23:00,,86.5
2/15/2013 0:00,5.851,80
2/15/2013 1:00,4.95,80
2/15/2013 5:30,10.9,93.3
2/15/2013 13:00,9.85,77.4
2/15/2013 14:00,10.73,72.7
2/15/2013 21:00,4.524,72.4
2/15/2013 23:00,11.66,86.1
2/16/2013 0:30,11.14,89.4
2/16/2013 2:30,9.76,86.4
2/16/2013 3:00,9.27,87.5
2/16/13 9:00,10.89,84.5
2/16/2013 9:30,8.79,73.1
2/17/2013 14:00,9.12,26.26
2/17/2013 19:00,6.857,42.85
2/17/2013 19:30,6.431,46.98
2/17/2013 21:00,5.381,56.31
2/18/2013 20:00,15.18,58.41
2/19/2013 18:00,20.98,61.89
2/20/2013 8:00,2.378,73.3
2/21/13 21:00,20.29,76.1
2/21/13 21:30,16.03,69.88
2/22/13 3:30,4.658,67.77
2/22/13 5:30,12.27,82.9
2/22/13 8:00,16.16,89.6
2/22/13 9:00,19.17,84.8
2/22/13 12:30,24.7,65.14
2/22/13 13:00,25.59,61.65
2/22/13 13:30,12.95,43.45
2/22/13 14:30,26.44,55.36
2/22/13 20:00,12.36,67.54
2/22/13 20:30,19.51,80.4
2/22/13 21:30,15.16,78.4
2/22/13 23:00,18.22,87.4
2/23/13 0:00,-2.52,54.29
2/23/13 0:30,17,85.6
2/23/13 1:00,17.69,85.5
2/23/13 1:30,9.79,72.6
2/23/13 2:00,10.07,72.9
2/23/13 2:30,5.502,66.32
2/23/13 3:30,,20.83
2/23/13 4:00,,21.17
2/23/13 4:30,12.7,80.2
2/23/13 5:00,12.68,79.1
2/23/13 5:30,7.96,71.7
2/23/13 6:00,,13.94
2/23/13 6:30,14.55,77.9
2/23/13 7:00,18.37,83.4
2/23/13 7:30,,19.78
2/23/13 8:30,2.986,56.29
2/23/13 9:00,11.5,68.34
2/23/13 9:30,7.92,61.48
2/23/13 10:00,,35.23
2/23/13 10:30,4.503,50.78
2/23/13 12:00,,17.41
2/23/13 13:30,15.88,56.16
2/23/13 14:30,20.5,62.74
2/23/13 15:00,16.42,57.1
2/23/13 15:30,15.82,55.98
2/23/13 16:30,24.54,74.9
2/23/13 21:00,15.88,80.5
2/23/13 21:30,19.99,85.6
2/23/13 22:00,23.7,91.1
2/23/13 22:30,14.84,78.1
2/23/13 23:00,14.37,78.5
2/23/13 23:30,10.23,72.3
2/24/13 0:00,17.98,85.1
2/24/13 0:30,9.77,72.6
2/24/13 1:00,20.5,91.1
2/24/13 1:30,17.52,85.1
2/24/13 2:00,,46.53
2/24/13 2:30,-3.313,52.52
2/24/13 3:00,0.6,58.15
2/24/13 3:30,22.25,90.8
2/24/13 4:00,5.901,65.44
2/24/13 4:30,-2.217,52.35
2/24/13 5:00,-2.34,52.3
2/24/13 5:30,1.818,58.75
2/24/13 6:00,5.003,64.99
2/24/13 7:00,,26.15
2/24/13 7:30,,45.73
2/24/13 8:00,0.859,58.24
2/24/13 8:30,,13.7
2/24/13 12:30,21.77,78.7
2/24/13 13:00,26.32,84.5
2/24/13 17:30,20.39,77.4
2/24/13 21:30,1.475,54.73
2/24/13 22:00,,18.94
2/24/13 22:30,16.79,80.3
2/25/13 2:30,17.62,82.1
2/25/13 3:00,,18.8
2/25/13 3:30,12.56,75.4
2/25/13 8:30,17.89,82.7
2/25/13 11:00,1.292,38.64
2/26/13 12:30,8.75,33.73
2/26/13 14:30,14.47,47.82
2/26/13 17:00,18.82,64.47
2/26/13 18:00,12.53,59.6
2/26/13 19:00,15.61,63.57
2/26/13 19:30,15.85,62.55
2/26/13 20:00,19.22,65.58
2/26/13 20:30,14.78,56.81
2/26/13 21:00,10.86,47.52
2/26/13 21:30,2.481,31.26
2/26/13 22:00,-1.422,23.9
2/26/13 22:30,-3.707,18.38
2/26/13 23:00,9.43,37.52
2/26/13 23:30,2.187,27.55
2/27/13 0:00,-1.916,22.19
2/27/13 0:30,17.68,47.17
2/27/13 1:00,-2.489,21.94
2/27/13 1:30,,30.97
2/27/13 2:00,8.21,36.27
2/27/13 2:30,23.23,45.98
2/27/13 3:00,35.77,44.69
2/27/13 3:30,35.48,29.01
2/27/13 4:00,8.88,
2/27/13 4:30,28.14,
2/27/13 5:00,4.214,
2/27/13 5:30,,
2/27/13 6:00,6.199,25.36
2/27/13 6:30,9.69,25.33
2/27/13 7:00,12.02,44.61
2/27/13 7:30,16.84,52.59
2/27/13 8:00,19.11,34.03
2/27/13 8:30,,
2/27/13 9:00,16.77,56.66
2/27/13 9:30,17.7,51.11
2/27/13 10:00,25.33,68.33
2/27/13 10:30,21.44,64.94
2/27/13 11:00,,47.98
2/27/13 11:30,5.864,16.69
2/27/13 13:30,,14.28
2/27/13 14:00,,
2/27/13 14:30,12.97,
2/27/13 15:00,,
2/27/13 15:30,,
2/27/13 16:00,30.94,54.85
2/27/13 16:30,39.02,39.79
2/27/13 17:00,,24.66
2/27/13 17:30,26.53,
2/27/13 18:00,,
2/27/13 18:30,,
2/27/13 19:00,,33.33
2/27/13 19:30,,96.7
2/27/13 20:00,,
2/27/13 20:30,,100
2/27/13 21:00,,100
2/27/13 21:30,,100
2/27/13 22:00,,100
2/27/13 22:30,,80
2/27/13 23:00,22.66,46.67
2/27/13 23:30,,86.6
2/28/13 0:00,,26.67
2/28/13 0:30,,
2/28/13 1:00,,
2/28/13 1:30,31.28,
2/28/13 2:00,,
2/28/13 2:30,,
2/28/13 3:00,,
2/28/13 3:30,,
2/28/13 4:00,,
2/28/13 4:30,8.8,
2/28/13 5:00,4.296,44.65
2/28/13 5:30,33.07,
2/28/13 6:00,,
2/28/13 6:30,,
2/28/13 7:00,9.77,
2/28/13 7:30,17.67,
2/28/13 8:00,,
2/28/13 8:30,,
2/28/13 9:00,,
2/28/13 9:30,13.16,67
2/28/13 10:00,17.2,72.5
2/28/13 10:30,6.667,52.71
2/28/13 11:00,,27.33
2/28/13 11:30,14.41,56.65
2/28/13 12:00,,11.72
2/28/13 12:30,,
2/28/13 13:00,,
2/28/13 13:30,,
2/28/13 14:00,,
2/28/13 14:30,,
2/28/13 15:00,,27.35
2/28/13 15:30,,13.72
2/28/13 16:00,,
2/28/13 16:30,,
2/28/13 17:00,38,28.03
2/28/13 17:30,27.2,23.86
2/28/13 18:00,5.035,
2/28/13 18:30,,
2/28/13 19:00,30.68,
2/28/13 19:30,,
2/28/13 20:00,,
2/28/13 20:30,0.919,12.78
2/28/13 21:00,,
2/28/13 21:30,,
2/28/13 22:00,,
2/28/13 22:30,,
2/28/13 23:00,,66.54
2/28/13 23:30,,100
3/1/13 0:00,,80
3/1/13 0:30,24.01,33.33
3/1/13 1:00,22.98,37.35
3/1/13 1:30,,
3/1/13 2:00,,
3/1/13 2:30,,60
3/1/13 3:00,34.64,46.67
3/10/13 14:00,20.62,47.43
3/10/13 18:00,16.5,41.8
3/10/13 19:00,19.23,50.9
3/11/13 2:00,1.018,65.79
3/11/13 5:00,-1.412,63.15
3/11/13 7:30,,39.15
3/11/13 8:00,-4.945,40.68
3/11/13 8:30,4.522,53.82
3/11/13 10:30,13.62,59.36
3/11/13 12:00,,27.13
3/11/13 12:30,-1.267,30.75
3/11/13 15:00,23.77,62.11
3/11/13 15:30,20.32,57.06
3/11/13 20:30,16.59,64.5
3/11/13 21:00,,25.09
3/11/13 21:30,,19.85
3/11/13 22:00,-0.525,44.97
3/11/13 22:30,,35.27
3/11/13 23:00,0.193,47.9
3/11/13 23:30,,29.83
3/12/13 0:00,-3.891,44.32
3/12/13 0:30,,
3/12/13 1:00,,
3/12/13 1:30,3.767,58.88
3/12/13 2:00,,10.45
3/12/13 2:30,6.806,66.58
3/12/13 6:00,6.299,70.9
3/12/13 6:30,2.392,57.05
3/12/13 7:00,6.62,57.96
3/12/13 12:00,31.72,
3/13/13 2:00,37.23,46.24
3/13/13 3:30,,16.72
3/13/13 4:00,12.66,
3/13/13 4:30,,
3/13/13 5:00,,
3/13/13 5:30,31.89,
3/13/13 6:00,26.79,61.13
3/13/13 6:30,,23.5
3/13/13 7:00,,85.4
3/13/13 7:30,,53.33
3/13/13 8:00,,43.33
3/13/13 8:30,32.58,
3/13/13 9:00,,
3/13/13 9:30,-0.922,
3/13/13 10:00,,16.1
3/13/13 10:30,9.99,28.97
3/13/13 11:00,26.49,31.44
3/13/13 11:30,,28.05
3/13/13 12:00,,
3/13/13 12:30,,12.56
3/22/13 13:00,10.56,26.83
