,file_name,df_type,str_time,str_doy,str_year,end_time,end_doy,end_year
1,SE_2013-80_2014-52.dat,ec,2000,80,2013,1330,52,2014
1,SE_20140513.dat,ec,1600,51,2014,1300,133,2014
1,SE_20140822.dat,ec,1330,133,2014,1000,234,2014
1,SE_20141021.dat,ec,1030,234,2014,1300,294,2014
1,SE_20141124.dat,ec,1330,294,2014,1500,328,2014
1,SE_20141211.dat,ec,1530,328,2014,1500,345,2014
1,SM_20140513.dat,met,1600,64,2014,1430,133,2014
1,SM_20140822.dat,met,1500,133,2014,1200,234,2014
1,SM_20141021.dat,met,1230,234,2014,1430,294,2014
1,SM_20141124.dat,met,1500,294,2014,1630,328,2014
1,SM_20141211.dat,met,1700,328,2014,1530,345,2014
1,SM_20141216.dat,met,1600,345,2014,1600,350,2014
