TIMESTAMP,0,ref_temp,precip,soil_tmp4,soil_heat_flux8_1,soil_heat_flux8_2,soil_moisture4,soil_moisture20,wind_speed,wind_direction,wind_direction_sdv,solar,net_rad_1,battery,WL,WL_temp
2014-03-05 16:00:00,125.0,28.63,0.0,16.0,9.76,10.38,0.321,0.325,2.714,317.1,15.2,332.4,200.9,14.03,45.9,18.4
2014-03-05 16:30:00,125.0,24.43,0.0,17.27,9.6,10.33,0.321,0.325,2.516,319.9,20.22,218.0,115.6,13.87,45.92,18.34
2014-03-05 17:00:00,125.0,23.2,0.0,18.43,9.17,9.96,0.321,0.325,2.35,319.2,17.01,188.0,77.8,13.8,45.92,18.4
2014-03-05 17:30:00,125.0,23.05,0.0,18.25,8.48,9.24,0.32,0.324,2.13,314.7,15.96,128.4,42.89,13.62,45.92,18.44
2014-03-05 18:00:00,125.0,21.94,0.0,18.18,7.6,8.3,0.32,0.324,1.759,317.7,15.58,120.2,23.31,13.51,45.91,18.44
2014-03-05 18:30:00,125.0,20.84,0.0,18.19,6.675,7.27,0.32,0.324,1.0,317.1,18.35,90.5,1.909,13.35,45.9,18.36
2014-03-05 19:00:00,125.0,19.82,0.0,18.12,5.78,6.266,0.32,0.324,0.715,258.8,79.7,72.3,-7.72,13.24,45.9,18.41
2014-03-05 19:30:00,125.0,18.75,0.0,18.14,4.928,5.317,0.319,0.324,0.822,304.6,67.45,68.89,-14.03,13.18,45.9,18.37
2014-03-05 20:00:00,125.0,17.89,0.0,18.16,4.073,4.396,0.319,0.324,0.707,219.8,52.15,67.37,-14.63,13.16,45.89,18.4
2014-03-05 20:30:00,125.0,17.14,0.0,18.25,3.236,3.51,0.319,0.324,0.677,339.0,45.61,64.67,-12.34,13.13,45.89,18.51
2014-03-05 21:00:00,125.0,16.94,0.0,18.4,2.458,2.665,0.319,0.324,0.776,330.0,35.24,44.8,-12.83,13.12,45.87,18.43
2014-03-05 21:30:00,125.0,17.01,0.0,18.3,1.82,1.947,0.319,0.324,0.633,59.86,39.45,28.71,-10.31,13.11,45.87,18.4
2014-03-05 22:00:00,125.0,16.94,0.2,18.23,1.356,1.417,0.319,0.324,1.032,66.19,33.82,15.7,-11.6,13.1,45.87,18.4
2014-03-05 22:30:00,125.0,16.71,0.1,18.2,0.996,1.026,0.319,0.324,1.684,86.0,19.63,11.25,-12.59,13.09,45.87,18.47
2014-03-05 23:00:00,125.0,16.44,0.1,18.15,0.681,0.657,0.318,0.324,1.47,81.2,26.12,6.78,-12.99,13.08,45.87,18.39
2014-03-05 23:30:00,125.0,16.19,0.1,18.16,0.38,0.31,0.318,0.323,1.589,87.7,28.79,6.753,-13.61,13.07,45.87,18.36
2014-03-06 00:00:00,125.0,16.01,0.1,18.12,0.129,0.022,0.318,0.323,2.078,93.6,15.85,6.161,-14.91,13.07,45.87,18.42
2014-03-06 00:30:00,125.0,15.83,0.0,18.06,-0.154,-0.327,0.318,0.323,2.59,76.8,16.22,6.278,-13.82,13.06,45.87,18.36
2014-03-06 01:00:00,125.0,15.59,0.0,18.01,-0.482,-0.711,0.318,0.323,2.711,69.91,17.69,6.604,-13.32,13.05,45.87,18.42
2014-03-06 01:30:00,125.0,15.41,0.0,18.0,-0.847,-1.136,0.318,0.323,1.912,66.67,18.76,7.65,-13.0,13.05,45.87,18.4
2014-03-06 02:00:00,125.0,15.24,0.0,17.94,-1.193,-1.534,0.318,0.323,2.03,79.0,20.15,8.96,-18.47,13.05,45.88,18.49
2014-03-06 02:30:00,125.0,15.13,0.0,17.96,-1.496,-1.867,0.318,0.323,2.376,71.1,11.86,14.62,-15.12,13.05,45.88,18.38
2014-03-06 03:00:00,125.0,15.1,0.0,17.93,-1.765,-2.172,0.318,0.323,2.694,70.9,14.29,20.21,-12.08,13.05,45.89,18.38
2014-03-06 03:30:00,125.0,15.08,0.0,17.86,-2.039,-2.48,0.318,0.323,2.547,81.5,18.0,21.16,-14.54,13.04,45.89,18.36
2014-03-06 04:00:00,125.0,15.03,0.0,17.87,-2.288,-2.746,0.318,0.323,2.292,90.9,17.56,21.96,-11.64,13.03,45.9,18.43
2014-03-06 04:30:00,125.0,15.24,0.0,17.91,-2.51,-2.988,0.318,0.323,1.87,90.5,17.25,22.81,-4.74,13.03,45.9,18.47
2014-03-06 05:00:00,125.0,15.49,0.0,17.83,-2.621,-3.081,0.318,0.323,2.092,89.7,16.34,23.56,-4.065,13.03,45.9,18.48
2014-03-06 05:30:00,125.0,15.62,0.0,17.76,-2.632,-3.078,0.318,0.323,2.279,74.0,12.69,23.94,-3.264,13.03,45.91,18.37
2014-03-06 06:00:00,125.0,15.58,0.0,17.74,-2.589,-3.056,0.317,0.323,1.809,75.0,20.23,25.5,-3.234,13.02,45.91,18.38
2014-03-06 06:30:00,125.0,15.54,0.0,17.72,-2.585,-3.032,0.317,0.323,1.99,80.9,18.17,24.91,-3.246,13.02,45.9,18.45
2014-03-06 07:00:00,125.0,15.55,0.0,17.72,-2.607,-3.056,0.317,0.323,2.093,70.9,17.61,24.04,-2.993,13.01,45.9,18.42
2014-03-06 07:30:00,125.0,15.52,0.0,17.69,-2.646,-3.078,0.317,0.322,2.185,75.5,17.58,24.7,-2.927,13.01,45.9,18.44
2014-03-06 08:00:00,125.0,15.46,0.0,17.68,-2.666,-3.108,0.317,0.322,2.397,80.1,16.48,25.1,-2.427,13.01,45.9,18.47
2014-03-06 08:30:00,125.0,15.43,0.0,17.65,-2.718,-3.161,0.317,0.322,2.718,90.2,18.59,31.02,0.467,13.01,45.89,18.4
2014-03-06 09:00:00,125.0,15.45,0.1,17.73,-2.777,-3.222,0.317,0.322,2.138,91.6,19.59,37.04,5.317,13.02,45.9,18.44
2014-03-06 09:30:00,125.0,15.69,0.6,17.75,-2.829,-3.288,0.317,0.322,1.326,96.5,17.13,28.97,8.21,13.03,45.91,18.48
2014-03-06 10:00:00,125.0,15.93,1.5,17.64,-2.802,-3.254,0.317,0.323,1.154,357.0,86.5,18.41,3.943,13.0,46.14,18.44
2014-03-06 10:30:00,125.0,15.9,1.2,17.64,-2.784,-3.161,0.319,0.324,1.403,38.98,48.28,18.48,6.968,13.05,46.49,18.45
2014-03-06 11:00:00,125.0,15.98,1.2,17.62,-2.836,-3.134,0.321,0.325,1.017,75.1,43.29,25.05,8.49,13.04,46.78,18.41
2014-03-06 11:30:00,125.0,16.15,1.9,17.65,-2.942,-3.178,0.324,0.33,1.179,50.73,18.06,34.49,13.41,13.07,47.04,18.51
2014-03-06 12:00:00,125.0,16.28,2.1,17.68,-3.046,-3.252,0.329,0.336,1.501,80.0,20.09,36.62,13.66,13.08,47.27,18.39
2014-03-06 12:30:00,125.0,16.43,3.5,17.6,-3.252,-3.415,0.34,0.336,1.536,64.59,13.96,28.67,10.7,13.05,47.39,18.44
2014-03-06 13:00:00,125.0,16.51,4.2,17.58,-3.811,-3.586,0.349,0.337,1.172,60.72,34.25,19.9,6.488,13.03,47.4,18.37
2014-03-06 13:30:00,125.0,16.72,4.0,17.59,-4.14,-3.841,0.35,0.337,1.803,60.72,29.93,25.64,9.89,13.04,47.37,18.41
2014-03-06 14:00:00,125.0,17.09,6.5,17.71,-4.253,-4.029,0.35,0.337,3.185,101.6,74.8,24.02,7.72,13.05,47.31,18.4
2014-03-06 14:30:00,125.0,17.6,1.2,17.82,-4.171,-4.138,0.351,0.337,3.419,117.4,15.45,53.56,16.11,13.16,47.26,18.43
2014-03-06 15:00:00,125.0,18.06,0.2,17.7,-3.639,-3.798,0.351,0.337,3.663,127.1,12.98,80.0,20.58,13.25,47.48,18.32
2014-03-06 15:30:00,125.0,18.65,0.0,18.03,-3.021,-3.185,0.351,0.337,2.461,132.1,17.36,152.6,40.87,13.49,47.56,18.33
