TIMESTAMP,SR01Up_Avg,SR01Dn_Avg,IR01Up_Avg,IR01Dn_Avg,NR01TC_Avg,NR01TK_Avg,NetRs_Avg,NetRl_Avg,Albedo_Avg,UpTot_Avg,DnTot_Avg,NetTot_Avg,IR01UpCo_Avg,IR01DnCo_Avg,Heatflag,Batt_Volt
2014-03-05 15:00:00,353.4,64.07,-60.99,19.31,25.51,298.7,289.4,-80.3,0.181,292.5,83.4,209.1,390.3,470.6,0.0,13.25
2014-03-05 15:30:00,218.5,38.36,-51.42,10.13,24.59,297.8,180.1,-61.55,0.176,167.0,48.49,118.5,394.4,455.9,0.0,13.21
2014-03-05 16:00:00,151.0,26.33,-42.38,6.49,23.06,296.2,124.7,-48.87,0.174,108.7,32.82,75.85,394.3,443.1,0.0,13.13
2014-03-05 16:30:00,98.8,16.97,-35.9,3.484,21.98,295.2,81.8,-39.38,0.171,62.87,20.46,42.41,394.5,433.8,0.0,12.98
2014-03-05 17:00:00,65.85,11.29,-32.18,1.408,20.88,294.1,54.56,-33.59,0.171,33.67,12.7,20.97,391.8,425.4,0.0,12.89
2014-03-05 17:30:00,32.68,5.634,-28.82,-1.451,20.07,293.3,27.04,-27.37,0.173,3.856,4.183,-0.326,390.5,417.9,0.0,12.79
2014-03-05 18:00:00,13.11,1.987,-24.61,-5.238,19.33,292.5,11.12,-19.37,0.146,-11.51,-3.252,-8.25,390.5,409.9,0.0,12.76
2014-03-05 18:30:00,3.772,0.631,-23.4,-5.981,18.32,291.5,3.141,-17.41,-0.176,-19.62,-5.35,-14.27,386.0,403.4,0.0,12.76
2014-03-05 19:00:00,-1.081,-0.238,-19.94,-6.844,17.72,290.9,-0.843,-13.09,0.086,-21.02,-7.082,-13.94,386.1,399.2,0.0,12.75
2014-03-05 19:30:00,-1.346,-0.45,-17.0,-5.685,17.02,290.2,-0.896,-11.31,0.246,-18.34,-6.135,-12.21,385.1,396.5,0.0,12.75
2014-03-05 20:00:00,-0.257,1.048,-13.63,-2.231,17.12,290.3,-1.305,-11.4,,-13.89,-1.183,-12.71,389.1,400.5,1.0,12.75
2014-03-05 20:30:00,-3.308,-0.428,-16.77,-15.06,19.62,292.8,-2.88,-1.707,0.06,-20.08,-15.49,-4.587,400.0,401.7,1.0,12.67
2014-03-05 21:00:00,-4.526,-0.393,-14.59,-15.51,19.89,293.1,-4.133,0.914,0.086,-19.12,-15.9,-3.219,403.7,402.8,1.0,12.67
2014-03-05 21:30:00,-3.909,-0.132,-11.73,-13.55,19.28,292.5,-3.777,1.821,0.033,-15.64,-13.68,-1.956,403.1,401.2,1.0,12.67
2014-03-05 22:00:00,-3.627,-0.118,-11.43,-13.25,18.93,292.1,-3.508,1.821,0.033,-15.06,-13.37,-1.687,401.4,399.6,1.0,12.66
2014-03-05 22:30:00,-3.224,-0.332,-11.14,-13.13,18.69,291.9,-2.892,1.989,0.102,-14.36,-13.46,-0.903,400.3,398.3,1.0,12.66
2014-03-05 23:00:00,-3.287,-0.456,-12.46,-12.9,18.51,291.7,-2.831,0.44,0.138,-15.75,-13.36,-2.391,398.0,397.5,1.0,12.65
2014-03-05 23:30:00,-3.173,-0.456,-12.26,-11.84,18.14,291.3,-2.717,-0.42,0.143,-15.43,-12.3,-3.137,396.1,396.5,1.0,12.65
2014-03-06 00:00:00,-2.839,-0.581,-12.64,-11.8,17.92,291.1,-2.259,-0.84,0.205,-15.47,-12.38,-3.099,394.5,395.4,1.0,12.65
2014-03-06 00:30:00,-2.756,-0.777,-13.8,-13.02,17.99,291.2,-1.979,-0.786,0.282,-16.56,-13.8,-2.766,393.7,394.5,1.0,12.64
2014-03-06 01:00:00,-3.102,-0.897,-18.73,-13.85,17.91,291.1,-2.205,-4.886,0.289,-21.83,-14.74,-7.091,388.3,393.2,1.0,12.64
2014-03-06 01:30:00,-2.619,-0.772,-17.75,-12.78,17.7,290.9,-1.847,-4.977,0.296,-20.37,-13.55,-6.824,388.2,393.2,1.0,12.64
2014-03-06 02:00:00,-2.285,-0.709,-16.44,-11.64,17.48,290.7,-1.576,-4.805,0.312,-18.73,-12.35,-6.382,388.2,393.0,1.0,12.63
2014-03-06 02:30:00,-2.282,-0.777,-18.87,-11.75,17.48,290.7,-1.505,-7.118,0.345,-21.15,-12.53,-8.62,385.8,392.9,1.0,12.63
2014-03-06 03:00:00,-2.188,-0.743,-21.86,-12.2,17.51,290.7,-1.445,-9.66,0.352,-24.04,-12.94,-11.11,383.0,392.7,1.0,12.63
2014-03-06 03:30:00,-1.789,-1.092,-14.34,-12.59,18.08,291.3,-0.698,-1.758,0.607,-16.13,-13.68,-2.455,393.7,395.5,1.0,12.63
2014-03-06 04:00:00,-1.685,-1.086,-13.24,-12.23,18.23,291.4,-0.599,-1.005,0.643,-14.92,-13.32,-1.604,395.6,396.6,1.0,12.63
2014-03-06 04:30:00,-1.714,-1.318,-12.46,-12.28,18.28,291.5,-0.397,-0.181,0.769,-14.18,-13.6,-0.578,396.7,396.9,1.0,12.63
2014-03-06 05:00:00,-1.69,-1.369,-12.29,-12.2,18.09,291.3,-0.321,-0.084,0.81,-13.98,-13.57,-0.405,395.8,395.9,1.0,12.62
2014-03-06 05:30:00,-1.634,-1.325,-12.4,-12.04,18.05,291.2,-0.308,-0.356,0.811,-14.03,-13.37,-0.665,395.5,395.8,1.0,12.62
2014-03-06 06:00:00,-1.499,-1.309,-11.91,-11.63,18.0,291.2,-0.19,-0.272,0.874,-13.41,-12.94,-0.462,395.7,395.9,1.0,12.62
2014-03-06 06:30:00,-1.435,-1.34,-11.68,-11.45,17.85,291.0,-0.094,-0.225,0.935,-13.11,-12.79,-0.319,395.1,395.3,1.0,12.62
2014-03-06 07:00:00,-0.948,-1.243,-11.68,-11.27,17.76,290.9,0.296,-0.41,0.892,-12.63,-12.51,-0.114,394.6,395.0,1.0,12.62
2014-03-06 07:30:00,3.685,-0.419,-11.04,-10.51,17.62,290.8,4.104,-0.528,-0.575,-7.357,-10.93,3.577,394.4,395.0,1.0,12.61
2014-03-06 08:00:00,10.98,1.388,-7.168,-8.83,17.42,290.6,9.59,1.66,0.144,3.812,-7.44,11.25,397.2,395.5,0.0,12.61
2014-03-06 08:30:00,16.45,2.35,-1.401,0.155,16.04,289.2,14.1,-1.556,0.143,15.04,2.504,12.54,395.4,396.9,0.0,12.69
2014-03-06 09:00:00,11.73,1.68,-0.366,1.707,15.85,289.0,10.05,-2.073,0.147,11.36,3.388,7.974,395.3,397.4,0.0,12.69
2014-03-06 09:30:00,13.77,1.708,-0.585,1.257,15.74,288.9,12.07,-1.842,0.132,13.19,2.964,10.22,394.5,396.3,0.0,12.69
2014-03-06 10:00:00,25.7,2.985,-1.778,1.919,15.79,289.0,22.72,-3.697,0.116,23.93,4.904,19.02,393.6,397.3,0.0,12.69
2014-03-06 10:30:00,31.91,3.537,-1.902,2.339,15.93,289.1,28.37,-4.241,0.111,30.0,5.876,24.13,394.2,398.5,0.0,12.69
2014-03-06 11:00:00,35.11,3.838,-2.114,2.02,16.04,289.2,31.27,-4.133,0.109,33.0,5.858,27.14,394.6,398.7,0.0,12.69
2014-03-06 11:30:00,29.59,3.06,-2.053,1.704,16.21,289.4,26.53,-3.757,0.103,27.54,4.763,22.78,395.6,399.4,0.0,12.68
2014-03-06 12:00:00,20.96,2.024,-2.211,1.166,16.33,289.5,18.93,-3.377,0.097,18.74,3.19,15.55,396.1,399.5,0.0,12.68
2014-03-06 12:30:00,27.56,2.547,-1.391,1.354,16.59,289.8,25.01,-2.746,0.092,26.17,3.901,22.27,398.3,401.1,0.0,12.68
2014-03-06 13:00:00,24.74,2.59,-1.344,0.914,17.1,290.3,22.15,-2.258,0.103,23.4,3.504,19.9,401.2,403.5,0.0,12.68
2014-03-06 13:30:00,47.39,5.65,-4.049,0.931,17.61,290.8,41.74,-4.98,0.117,43.34,6.581,36.76,401.4,406.3,0.0,12.72
2014-03-06 14:00:00,77.97,10.59,-8.12,1.351,17.95,291.1,67.39,-9.47,0.136,69.86,11.94,57.92,399.2,408.6,0.0,12.72
2014-03-06 14:30:00,143.4,21.1,-7.641,4.096,18.39,291.6,122.3,-11.74,0.147,135.7,25.19,110.5,402.1,413.9,0.0,12.8
2014-03-06 15:00:00,200.8,29.65,-16.97,6.482,19.44,292.6,171.1,-23.45,0.148,183.8,36.14,147.7,398.7,422.2,0.0,12.91
2014-03-06 15:30:00,213.2,31.95,-23.54,5.41,20.25,293.4,181.2,-28.95,0.15,189.6,37.36,152.3,396.8,425.7,0.0,12.97
2014-03-06 16:00:00,248.9,39.12,-26.6,4.61,20.62,293.8,209.8,-31.21,0.157,222.3,43.73,178.6,395.8,427.0,0.0,13.07
2014-03-06 16:30:00,268.7,43.99,-32.16,3.172,21.37,294.6,224.7,-35.33,0.163,236.6,47.17,189.4,394.6,430.0,0.0,13.08
2014-03-06 17:00:00,212.2,35.51,-40.3,-0.83,21.15,294.3,176.6,-39.47,0.165,171.9,34.68,137.2,385.3,424.7,0.0,13.04
2014-03-06 17:30:00,209.0,35.95,-33.63,1.364,20.83,294.0,173.1,-34.99,0.171,175.4,37.31,138.1,390.1,425.0,0.0,13.03
2014-03-06 18:00:00,52.8,7.972,-10.79,-2.705,20.39,293.6,44.83,-8.08,0.151,42.02,5.267,36.75,410.4,418.5,0.0,12.86
